"context","target"
"AutoautosaveCopyright","SPDX-FileCopyrightText: © 2018 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
"
"AutoautosaveLicense","SPDX-License-Identifier: CC-BY-SA-4.0
"
AAS_MANUAL_CONTROL_NAME,Manual autosave
AAS_TOGGLE_CONTROL_NAME,Toggle Autoautosave
AAS_TOGGLE_ON_MESSAGE,Toggle Autoautosave
AAS_TOGGLE_OFF_MESSAGE,Toggle Autoautosave
AAS_LEVEL_NOTHING,nothing
AAS_LEVEL_QUIET,quiet
AAS_LEVEL_VERBOSE,verbose
AAS_LEVEL_EVERYTHING,everything
AAS_MUST_ALWAYS,This must be set to
AAS_GLOBAL_TOGGLE,Global toggle
AAS_CONTROLS,Manual autosave
AAS_EVENT_TUNING_TITLE,Event Options
AAS_REPORT_OPTIONS_TITLE,Log Options
AAS_INDIVIDUAL_TOGGLES_TITLE,Autosave Toggles
AAS_SCREENSHOT_TOGGLES_TITLE,Screenshot Toggles
AAS_VOICE_OPTIONS_TITLE,Voice Toggles
AAS_SCREENSHOTS_WARNING,Warning: too many screenshot can use up disk space.
AAS_SCREENSHOTS_SCRIPT_NOTE,"This must be set to ""On""."
AAS_LOG_CONSOLE,Toggle Autoautosave
AAS_LOG_SCREEN,Log to screen
AAS_PRINT_COLOR,Log color
AAS_LOG_QUIET_NOTE_1,Quiet:
AAS_LOG_QUIET_NOTE_2,"enemies, time, teleport, items."
AAS_LOG_VERBOSE_NOTE_1,Verbose:
AAS_LOG_VERBOSE_NOTE_2,"enemies, time, teleport, items, % kills, health, armor."
AAS_MIN_BOSS_HEALTH,Enemy is a boss when health is at least
AAS_GROUP_NUMBER,Group is at least N enemies
AAS_BOSS_GROUP_NUMBER,Boss group is at least N enemies
AAS_HEALTH_LIMIT,Don't save when health is less than
AAS_BIG_HEAL_SIZE,Major healing amount
AAS_LOW_HEALTH_THRESHOLD,Low health threshold
AAS_HIGH_HEALTH_THRESHOLD,High health threshold
AAS_LOW_ARMOR_THRESHOLD,Low armor threshold
AAS_HIGH_ARMOR_THRESHOLD,High armor threshold
AAS_MIN_SAVE_WAIT,Don't save until seconds passed
AAS_PERIOD,Autosave every N seconds
AAS_SAVE_ON_DROPPED,Save on dropped items
AAS_SAVE_ON_DROPPED_NOTE,Also picking up Hideous Destructor keys.
AAS_VOICE_VOLUME,Voice volume
AAS_ENABLE_ALL,Enable all
AAS_DISABLE_ALL,Disable all
AAS_EVENT_all_kill,All enemies down
AAS_EVENT_boss_kill,Boss down
AAS_EVENT_group_kill,No active enemies
AAS_EVENT_group_alert,New active enemies
AAS_EVENT_boss_alert,Boss alerted
AAS_EVENT_all_items_found,All items found
AAS_EVENT_time_period,Time passed
AAS_EVENT_teleport,Moved to another place
AAS_EVENT_manual,Manual save
AAS_EVENT_important,Something important!
AAS_EVENT_level_start,Level started
AAS_EVENT_one_percent,Last health percent!
AAS_EVENT_enemies_10,Enemies 10% down
AAS_EVENT_enemies_20,Enemies 20% down
AAS_EVENT_enemies_30,Enemies 30% down
AAS_EVENT_enemies_40,Enemies 40% down
AAS_EVENT_enemies_50,Enemies 50% down
AAS_EVENT_enemies_60,Enemies 60% down
AAS_EVENT_enemies_70,Enemies 70% down
AAS_EVENT_enemies_80,Enemies 80% down
AAS_EVENT_enemies_90,Enemies 90% down
AAS_EVENT_health_drop,Health low
AAS_EVENT_health_rise,Health high
AAS_EVENT_armor_drop,Armor low
AAS_EVENT_armor_rise,Armor high
AAS_EVENT_secret_found,Secret found
AAS_EVENT_powerup,Powerup found
AAS_EVENT_weapon,Weapon found
AAS_EVENT_key,Key found
AAS_EVENT_backpack,Backpack found
AAS_EVENT_new_armor,New armor
AAS_EVENT_big_heal,Major healing
AAS_EVENT_armor,Armor found
