default,Identifier,Remarks,pt,ru
,,,,SPDX-FileCopyrightText: © 2022 generic name guy
,,,,SPDX-FileCopyrightText: © 2018 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
,,,,SPDX-License-Identifier: CC-BY-SA-4.0
Manual autosave,AAS_MANUAL_CONTROL_NAME,,Autosave manual,
Toggle Autoautosave,AAS_TOGGLE_CONTROL_NAME,,Ligar Autoautosave,
Toggle Autoautosave,AAS_TOGGLE_ON_MESSAGE,,Autoautosave ligado,
Toggle Autoautosave,AAS_TOGGLE_OFF_MESSAGE,,Autoautosave desligado,
nothing,AAS_LEVEL_NOTHING,,nada,
quiet,AAS_LEVEL_QUIET,,quieto,
verbose,AAS_LEVEL_VERBOSE,,verboso,
everything,AAS_LEVEL_EVERYTHING,,tudo,
This must be set to,AAS_MUST_ALWAYS,,Isto deve estar definido como,
Global toggle,AAS_GLOBAL_TOGGLE,,Ligar Mod,
Manual autosave,AAS_CONTROLS,,Controles,
Event Options,AAS_EVENT_TUNING_TITLE,,Opções de Evento,
Log Options,AAS_REPORT_OPTIONS_TITLE,,Opções de registramento,
Autosave Toggles,AAS_INDIVIDUAL_TOGGLES_TITLE,,Opções de Autosave,
Screenshot Toggles,AAS_SCREENSHOT_TOGGLES_TITLE,,Opções de Captura de Tela,
Voice Toggles,AAS_VOICE_OPTIONS_TITLE,,Opções de Voz,
Warning: too many screenshot can use up disk space.,AAS_SCREENSHOTS_WARNING,,Aviso: Muitas capturas de tela podem usar espaço no disco.,
"This must be set to ""On"".",AAS_SCREENSHOTS_SCRIPT_NOTE,,"Isto deve estar definido como ""Sim"".",
Toggle Autoautosave,AAS_LOG_CONSOLE,,Registrar no Console,
Log to screen,AAS_LOG_SCREEN,,Registrar na Tela,
Log color,AAS_PRINT_COLOR,,Cor do registro,
Quiet:,AAS_LOG_QUIET_NOTE_1,,Quieto:,
"enemies, time, teleport, items.",AAS_LOG_QUIET_NOTE_2,,"Inimigos, tempo, teleporte, ítens.",
Verbose:,AAS_LOG_VERBOSE_NOTE_1,,Verboso:,
"enemies, time, teleport, items, % kills, health, armor.",AAS_LOG_VERBOSE_NOTE_2,,"Inimigos, tempo, teleporte, ítens, % de vítmas, vida, armadura.",
Enemy is a boss when health is at least,AAS_MIN_BOSS_HEALTH,,Inimigo é um chefão quando a vida for,
Group is at least N enemies,AAS_GROUP_NUMBER,,Grupo é pelo menos N inimigos,
Boss group is at least N enemies,AAS_BOSS_GROUP_NUMBER,,Grupo de chefão é pelo menos N inimigos,
Don't save when health is less than,AAS_HEALTH_LIMIT,,Não salve quando a vida for menos de,
Major healing amount,AAS_BIG_HEAL_SIZE,,Tanto de cura grande,
Low health threshold,AAS_LOW_HEALTH_THRESHOLD,,Cota de vida baoxa,
High health threshold,AAS_HIGH_HEALTH_THRESHOLD,,Cota de vida alta,
Low armor threshold,AAS_LOW_ARMOR_THRESHOLD,,Cota de armadura baixa,
High armor threshold,AAS_HIGH_ARMOR_THRESHOLD,,Cota de armadura alta,
Don't save until seconds passed,AAS_MIN_SAVE_WAIT,,Não salve até segundos passados,
Autosave every N seconds,AAS_PERIOD,,Autosalvar todos N segundos,
Save on dropped items,AAS_SAVE_ON_DROPPED,,Salvar nos ítens derrubados,
Also picking up Hideous Destructor keys.,AAS_SAVE_ON_DROPPED_NOTE,,Também pegando chaves do Hideous Destructor,
Voice volume,AAS_VOICE_VOLUME,,Volume de voz,
Enable all,AAS_ENABLE_ALL,,Habilitar todos,
Disable all,AAS_DISABLE_ALL,,Desabilitar todos,
All enemies down,AAS_EVENT_all_kill,,Todos os inimigos foram eliminados,
Boss down,AAS_EVENT_boss_kill,,O chefão foi eliminado,
