"context","target"
"AutoautosaveCopyright","SPDX-FileCopyrightText: © 2018 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
"
"AutoautosaveLicense","SPDX-License-Identifier: CC-BY-SA-4.0
"
"AAS_MANUAL_CONTROL_NAME","Автосохранение вручную"
"AAS_TOGGLE_CONTROL_NAME","Переключить Autoautosave"
"AAS_TOGGLE_ON_MESSAGE",""
"AAS_TOGGLE_OFF_MESSAGE",""
"AAS_LEVEL_NOTHING",""
"AAS_LEVEL_QUIET",""
"AAS_LEVEL_VERBOSE",""
"AAS_LEVEL_EVERYTHING",""
"AAS_MUST_ALWAYS",""
"AAS_GLOBAL_TOGGLE",""
"AAS_CONTROLS",""
"AAS_EVENT_TUNING_TITLE",""
"AAS_REPORT_OPTIONS_TITLE",""
"AAS_INDIVIDUAL_TOGGLES_TITLE",""
"AAS_SCREENSHOT_TOGGLES_TITLE",""
"AAS_VOICE_OPTIONS_TITLE",""
"AAS_SCREENSHOTS_WARNING",""
"AAS_SCREENSHOTS_SCRIPT_NOTE",""
"AAS_LOG_CONSOLE",""
"AAS_LOG_SCREEN",""
"AAS_PRINT_COLOR",""
"AAS_LOG_QUIET_NOTE_1",""
"AAS_LOG_QUIET_NOTE_2",""
"AAS_LOG_VERBOSE_NOTE_1",""
"AAS_LOG_VERBOSE_NOTE_2",""
"AAS_MIN_BOSS_HEALTH",""
"AAS_GROUP_NUMBER",""
"AAS_BOSS_GROUP_NUMBER",""
"AAS_HEALTH_LIMIT",""
"AAS_BIG_HEAL_SIZE",""
"AAS_LOW_HEALTH_THRESHOLD",""
"AAS_HIGH_HEALTH_THRESHOLD",""
"AAS_LOW_ARMOR_THRESHOLD",""
"AAS_HIGH_ARMOR_THRESHOLD",""
"AAS_MIN_SAVE_WAIT",""
"AAS_PERIOD",""
"AAS_SAVE_ON_DROPPED",""
"AAS_SAVE_ON_DROPPED_NOTE",""
"AAS_VOICE_VOLUME",""
"AAS_ENABLE_ALL",""
"AAS_DISABLE_ALL",""
"AAS_EVENT_all_kill",""
"AAS_EVENT_boss_kill",""
"AAS_EVENT_group_kill",""
"AAS_EVENT_group_alert",""
"AAS_EVENT_boss_alert",""
"AAS_EVENT_all_items_found",""
"AAS_EVENT_time_period",""
"AAS_EVENT_teleport",""
"AAS_EVENT_manual",""
"AAS_EVENT_important",""
"AAS_EVENT_level_start",""
"AAS_EVENT_one_percent",""
"AAS_EVENT_enemies_10",""
"AAS_EVENT_enemies_20",""
"AAS_EVENT_enemies_30",""
"AAS_EVENT_enemies_40",""
"AAS_EVENT_enemies_50",""
"AAS_EVENT_enemies_60",""
"AAS_EVENT_enemies_70",""
"AAS_EVENT_enemies_80",""
"AAS_EVENT_enemies_90",""
"AAS_EVENT_health_drop",""
"AAS_EVENT_health_rise",""
"AAS_EVENT_armor_drop",""
"AAS_EVENT_armor_rise",""
"AAS_EVENT_secret_found",""
"AAS_EVENT_powerup",""
"AAS_EVENT_weapon",""
"AAS_EVENT_key",""
"AAS_EVENT_backpack",""
"AAS_EVENT_new_armor",""
"AAS_EVENT_big_heal",""
"AAS_EVENT_armor",""
