"context","target"
"FinalCustomDoomCopyright","SPDX-FileCopyrightText: © 2025 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
"
"FinalCustomDoomLicense","SPDX-License-Identifier: CC-BY-SA-4.0
"
"cd_RegenerationDegeneration","Regeneration/Degeneration"
"cd_Health","Health"
"cd_Armor","Armor"
"cd_Ammo","Ammo"
"cd_Player","Player"
"cd_ZeroDisables","0 disables the option."
"cd_WeaponDamageMultiplier","Weapon damage multiplier"
"cd_TakenDamageMultiplier","Taken damage multiplier"
"cd_StartHealth","Start health"
"cd_StartArmor","Start armor"
"cd_SavePercent","Save percent"
"cd_HealthMax","Health max"
"cd_SpeedMultiplier","Speed multiplier"
"cd_JumpHeightMultiplier","Jump height multiplier"
"cd_FrictionMultiplier","Friction multiplier"
"cd_SelfDamageMultiplier","Self damage multiplier"
"cd_HealthMultiplier","Health multiplier"
"cd_Regeneration","Regeneration"
"cd_Degeneration","Degeneration"
"cd_Actors","Actors"
"cd_Enemies","Enemies"
"cd_Friends","Friends"
"cd_PermanentPowerups","Permanent powerups"
"cd_Buddha","Buddha"
"cd_Damage","Damage"
"cd_DoubleFiringSpeed","Double firing speed"
"cd_Drain","Drain"
"cd_Flight","Flight"
"cd_Frightener","Frightener"
"cd_Ghost","Ghost"
"cd_HighJump","High jump"
"cd_InfiniteAmmo","Infinite ammo"
"cd_Invisibility","Invisibility"
"cd_Invulnerability","Invulnerability"
"cd_IronFeet","IronFeet"
"cd_LightAmp","LightAmp"
"cd_Mask","Mask"
"cd_Minotaur","Minotaur"
"cd_Morph","Morph"
"cd_Protection","Protection"
"cd_Scanner","Scanner"
"cd_Shadow","Shadow"
"cd_Speed","Speed"
"cd_Strength","Strength"
"cd_Targeter","Targeter"
"cd_TimeFreeze","Time freeze"
"cd_Torch","Torch"
"cd_WeaponLevel2","Weapon level 2"
"cd_HealthRegeneration","Health Regeneration"
"cd_ArmorRegeneration","Armor Regeneration"
"cd_AmmoRegeneration","Ammo Regeneration"
"cd_Amount","Amount"
"cd_Type","Type"
"cd_PeriodSeconds","Period (seconds)"
"cd_Min","Min"
"cd_Max","Max"
"cd_SoundEffectVolume","Sound effect volume"
"cd_VisualEffectIntensity","Visual effect intensity"
"cd_VisualEffectColor","Visual effect color"
"cd_BackpackRequired","Backpack required"
"cd_Commands","Commands"
"cd_NotAppliedInGame","Resetting and restoring aren't applied if in a game."
"cd_ResetOptions","Reset options to defaults"
"cd_BackupOptions1","Back up options to Profile 1"
"cd_RestoreOptions1","Restore options from Profile 1 backup"
"cd_BackupOptions2","Back up options to Profile 2"
"cd_RestoreOptions2","Restore options from Profile 2 backup"
"cd_BackupOptions3","Back up options to Profile 3"
"cd_RestoreOptions3","Restore options from Profile 3 backup"
