"context","target"
"FinalCustomDoomCopyright","SPDX-FileCopyrightText: © 2025 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
"
"FinalCustomDoomLicense","SPDX-License-Identifier: CC-BY-SA-4.0
"
"cd_RegenerationDegeneration",
"cd_Health",
"cd_Armor",
"cd_Ammo",
"cd_Player",
"cd_ZeroDisables",
"cd_WeaponDamageMultiplier",
"cd_TakenDamageMultiplier",
"cd_StartHealth",
"cd_StartArmor",
"cd_SavePercent",
"cd_HealthMax",
"cd_SpeedMultiplier",
"cd_JumpHeightMultiplier",
"cd_FrictionMultiplier",
"cd_SelfDamageMultiplier",
"cd_HealthMultiplier",
"cd_Regeneration",
"cd_Degeneration",
"cd_Actors",
"cd_Enemies",
"cd_Friends",
"cd_PermanentPowerups",
"cd_Buddha",
"cd_Damage",
"cd_DoubleFiringSpeed",
"cd_Drain",
"cd_Flight",
"cd_Frightener",
"cd_Ghost",
"cd_HighJump",
"cd_InfiniteAmmo",
"cd_Invisibility",
"cd_Invulnerability",
"cd_IronFeet",
"cd_LightAmp",
"cd_Mask",
"cd_Minotaur",
"cd_Morph",
"cd_Protection",
"cd_Scanner",
"cd_Shadow",
"cd_Speed",
"cd_Strength",
"cd_Targeter",
"cd_TimeFreeze",
"cd_Torch",
"cd_WeaponLevel2",
"cd_HealthRegeneration",
"cd_ArmorRegeneration",
"cd_AmmoRegeneration",
"cd_Amount",
"cd_Type",
"cd_PeriodSeconds",
"cd_Min",
"cd_Max",
"cd_SoundEffectVolume",
"cd_VisualEffectIntensity",
"cd_VisualEffectColor",
"cd_BackpackRequired",
"cd_Commands",
"cd_NotAppliedInGame",
"cd_ResetOptions",
"cd_BackupOptions1",
"cd_RestoreOptions1",
"cd_BackupOptions2",
"cd_RestoreOptions2",
"cd_BackupOptions3",
"cd_RestoreOptions3",
