"context","target"
"GearboxCopyright","SPDX-FileCopyrightText: © 2026 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
"
"GearboxLicense","SPDX-License-Identifier: CC-BY-SA-4.0
"
"GB_PACK1",""
"GB_UI_OPTIONS",""
"GB_UI_OPTIONS_TITLE",""
"GB_COLOR",""
"GB_PLAYER_COLOR",""
"GB_DIM_COLOR",""
"GB_SHOW_TAGS",""
"GB_PRINT_SELECTION",""
"GB_SOUND",""
"GB_KEYSECTION",""
"GB_TOGGLE_WEAPON_MENU",""
"GB_TOGGLE_INVENTORY_MENU",""
"GB_PREV_WEAPON",""
"GB_VIEW_TYPE",""
"GB_BLOCKY_VIEW",""
"GB_WHEEL_VIEW",""
"GB_TEXT_VIEW",""
"GB_DIM",""
"GB_BLUR",""
"GB_WHEEL_X",""
"GB_WHEEL_SCALE",""
"GB_WHEEL_TINT",""
"GB_BEHAVIOR_OPTIONS",""
"GB_BEHAVIOR_OPTIONS_TITLE",""
"GB_OPEN_ON_PREV_NEXT",""
"GB_OPEN_ON_SLOT",""
"GB_SELECT_ON_KEY_UP",""
"GB_NO_MENU_IF_ONE",""
"GB_ENABLE_ON_AUTOMAP",""
"GB_LOCK_POSITION",""
"GB_FROZEN_CAN_OPEN",""
"GB_REVERSE_SLOT_CYCLE_ORDER",""
"GB_SELECT_FIRST_SLOT_WEAPON",""
"GB_FREEZE_TIME",""
"GB_LEVEL_AND_PLAYER",""
"GB_PLAYER",""
"GB_MOUSE_IN_WHEEL",""
"GB_MULTIWHEEL_LIMIT",""
"GB_MOUSE_SENSITIVITY",""
"GB_X",""
"GB_Y",""
"GB_Y_BOUNDARY",""
"GB_WHEEL_OPTIONS",""
"GB_WHEEL_OPTIONS_TITLE",""
"GB_BLOCKS_OPTIONS",""
"GB_BLOCKS_OPTIONS_TITLE",""
"GB_TEXT_OPTIONS",""
"GB_TEXT_OPTIONS_TITLE",""
"GB_TEXT_USUAL_COLOR",""
"GB_TEXT_SELECTED_COLOR",""
"GB_FONT",""
"GB_FONT_CUSTOM",""
"GB_BAD_FONT",""
"GB_SCALE",""
"GB_POSITION",""
"GB_RESET",""
"GB_RESET_CUSTOM_ORDER",""
"GB_RESET_CUSTOM_ORDER_NOTE",""
"GB_ENGINE_OPTIONS",""
"GB_ENGINE_OPTIONS_TITLE",""
"GB_ASPECT_SCALE_NOTE",""
"GB_ADVANCED_OPTIONS",""
"GB_ADVANCED_OPTIONS_TITLE",""
"GB_VM_ABORT_INFO_ENABLED",""
"GB_ROTATE_WEAPON_PRIORITY",""
"GB_ROTATE_WEAPON_SLOT",""
"GB_SOUNDPACK",""
"GB_SMALL_FONT",""
"GB_CONSOLE_FONT",""
"GB_BIG_FONT",""
