"context","target"
"PreciseCrosshair_Copyright","SPDX-FileCopyrightText: © 2019 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
"
"PreciseCrosshair_License","SPDX-License-Identifier: CC-BY-SA-4.0
"
"PC_ENGINE","Engine Crosshair Options"
"PC_OFF","This must be OFF:"
"PC_NONE","This must be not None:"
"PC_OTHER","Other crosshair options also apply to PreciseCrosshair:"
"PC_OPTIONS","PreciseCrosshair Options"
"PC_ENABLE","Enabled"
"PC_MIRROR_H","Mirror horizontally"
"PC_MIRROR_V","Mirror vertically"
"PC_SLOT_1","Disable on slot 1"
"PC_NOT_READY","Disable when weapon isn't ready"
"PC_NO_WEAPON","Disable when there is no weapon"
"PC_TARGET_COLOR","Show target color instead of player"
"PC_DISTANCE_SCALE","Scale crosshair by distance"
"PC_PIXEL","Pixel"
"PC_BIG","Precise Big"
"PC_SMALL","Precise Small"
