"context","target"
"SoundToScreen_Copyright","SPDX-FileCopyrightText: © 2022 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
"
"SoundToScreen_License","SPDX-License-Identifier: CC-BY-SA-4.0
"
"st_Position","Position"
"st_Horizontal","Horizontal"
"st_Vertical","Vertical"
"st_Width","Width"
"st_Height","Height"
"st_DotSize","Dot size"
"st_Opacity","Opacity"
"st_OnAutomap","On automap"
"st_Colors","Colors"
"st_Base","Base"
"st_Noise","Noise"
"st_Level","Level"
"st_Danger","Danger"
"st_Player","Player"
