"context","target"
"SoundToScreenCopyright","SPDX-FileCopyrightText: © 2026 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
"
"SoundToScreenLicense","SPDX-License-Identifier: CC-BY-SA-4.0
"
"st_Position","Позиция"
"st_Horizontal","По горизонтали"
"st_Vertical","По вертикали"
"st_Width","Ширина"
"st_Height","Высота"
"st_DotSize","Размер точек"
"st_Opacity","Непрозрачность"
"st_OnAutomap","На карте"
"st_Colors","Цвета"
"st_Base","Базовый"
"st_Noise","Шум"
"st_Level","Уровень"
"st_Danger","Опасность"
"st_Player","Игрок"
