"context","target"
"TargetSpyCopyright","SPDX-FileCopyrightText: © 2026 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
"
"TargetSpyLicense","SPDX-License-Identifier: CC-BY-SA-4.0
"
"tsFinder_Aim","Aim target"
"tsFinder_Shootable","Shootable only"
"tsFinder_NonShootable","Non-shootable too"
"tsFinder_Noblockmap","Everything"
"tsFilter_Blocklist","Blocklist"
"tsFilter_Monsters","Monsters only"
"tsFilter_LightLevel","Lit only"
"tsFilter_Health","Positive health only"
"tsFilter_Hidden","Not hidden only"
"tsFilter_Enemies","Enemies only"
"tsFilter_Dormant","Not dormant only"
"tsFilter_Active","Active only"
"tsGetter_Health","Health"
"tsGetter_HealthAndMax","Health and max health"
"tsGetter_HealthBar","Health bar"
"tsGetter_ArmorBar","Armor bar"
"tsGetter_Class","Class name"
"tsGetter_Tag","Tag"
"tsGetter_TagAndClass","Tag (class)"
"tsGetter_Flags","Flags"
"ts_Friendly","Friendly"
"ts_Invulnerable","Invulnerable"
"ts_Boss","Boss"
"ts_Dormant","Dormant"
"ts_Buddha","Buddha"
"ts_Undamageable","Undamageable"
"ts_NoBlockmap","No blockmap"
"tsView_Text","Plain text"
"tsView_Frame","Frame"
"tsView_Crosshair","Crosshair"
"ts_Keys","TargeSpy keys"
"ts_Hold","Hold to turn on"
"ts_On","Turn on"
"ts_Off","Turn off"
"ts_AllOn","Activate all"
"ts_AllOff","Deactivate all"
"ts_Toggles","Toggles"
"ts_Finders","Finders"
"ts_Filters","Filters"
"ts_Getters","Getters"
"ts_Views","Views"
"ts_FilterOptions","Filter options"
"ts_GettersOrder","Getters order"
"ts_TextViewOptions","Text view options"
"ts_FrameOptions","Frame options"
"ts_CrosshairOptions","Crosshair options"
"ts_FinderToggles","Finder toggles"
"ts_FilterToggles","Filter toggles"
"ts_GetterToggles","Getter toggles"
"ts_ViewToggles","View toggles"
"ts_Scale","Scale"
"ts_Xposition","X position"
"ts_Yposition","Y position"
"ts_Place","Place"
"ts_Background","Background"
"ts_UseHealthBarColors","Use health bar colors"
"ts_DefaultBarOptions","Default bar options"
"ts_HealthBarOptions","Health bar options"
"ts_ArmorBarOptions","Armor bar options"
"ts_Fixed","Fixed"
"ts_AboveTarget","Above target"
"ts_BelowTarget","Below target"
"ts_CustomCharacters","Custom characters"
"ts_Style","Style"
"ts_TopLeft","Top left"
"ts_TopRight","Top right"
"ts_BottomLeft","Bottom left"
"ts_BottomRight","Bottom right"
"ts_AlwaysEnabled","Always enabled"
"ts_Height","Height"
"ts_Top","Top"
"ts_Center","Center"
"ts_Bottom","Bottom"
"ts_DefaultBar","DefaultBar"
"ts_HealthBar","HealthBar"
"ts_ArmorBar","ArmorBar"
"ts_FilledCharacter","Filled character"
"ts_EmptyCharacter","Empty character"
"ts_Characters","Characters"
"ts_ColorsForFilledCharacters","Colors for filled characters"
"ts_ColorsForEmptyCharacters","Colors for empty characters"
