"context","target"
"SoundToScreen_Copyright","SPDX-FileCopyrightText: © 2026 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
"
"SoundToScreen_License","SPDX-License-Identifier: CC-BY-SA-4.0
"
"tsFinder_Aim",""
"tsFinder_Shootable",""
"tsFinder_NonShootable",""
"tsFinder_Noblockmap",""
"tsFilter_Blocklist",""
"tsFilter_Monsters",""
"tsFilter_LightLevel",""
"tsFilter_Health",""
"tsFilter_Hidden",""
"tsFilter_Enemies",""
"tsFilter_Dormant",""
"tsFilter_Active",""
"tsGetter_Health",""
"tsGetter_HealthAndMax",""
"tsGetter_HealthBar",""
"tsGetter_ArmorBar",""
"tsGetter_Class",""
"tsGetter_Tag",""
"tsGetter_TagAndClass",""
"tsGetter_Flags",""
"ts_Friendly",""
"ts_Invulnerable",""
"ts_Boss",""
"ts_Dormant",""
"ts_Buddha",""
"ts_Undamageable",""
"ts_NoBlockmap",""
"tsView_Text",""
"tsView_Frame",""
"tsView_Crosshair",""
"ts_Keys",""
"ts_Hold",""
"ts_On",""
"ts_Off",""
"ts_AllOn",""
"ts_AllOff",""
"ts_Toggles",""
"ts_Finders",""
"ts_Filters",""
"ts_Getters",""
"ts_Views",""
"ts_FilterOptions",""
"ts_GettersOrder",""
"ts_TextViewOptions",""
"ts_FrameOptions",""
"ts_CrosshairOptions",""
"ts_FinderToggles",""
"ts_FilterToggles",""
"ts_GetterToggles",""
"ts_ViewToggles",""
"ts_Scale",""
"ts_Xposition",""
"ts_Yposition",""
"ts_Place",""
"ts_Background",""
"ts_UseHealthBarColors",""
"ts_DefaultBarOptions",""
"ts_HealthBarOptions",""
"ts_ArmorBarOptions",""
"ts_Fixed",""
"ts_AboveTarget",""
"ts_BelowTarget",""
"ts_CustomCharacters",""
"ts_Style",""
"ts_TopLeft",""
"ts_TopRight",""
"ts_BottomLeft",""
"ts_BottomRight",""
"ts_AlwaysEnabled",""
"ts_Height",""
"ts_Top",""
"ts_Center",""
"ts_Bottom",""
"ts_DefaultBar",""
"ts_HealthBar",""
"ts_ArmorBar",""
"ts_FilledCharacter",""
"ts_EmptyCharacter",""
"ts_Characters",""
"ts_ColorsForFilledCharacters",""
"ts_ColorsForEmptyCharacters",""
