"context","target"
"Typist.pk3_Copyright","SPDX-FileCopyrightText: © 2019 Alexander Kromm (m8f) <mmaulwurff@gmail.com>
"
"Typist.pk3_License","SPDX-License-Identifier: CC-BY-SA-4.0
"
"TT_UNLOCK",""
"TT_COMBAT",""
"TT_SCORE",""
"TT_CUSTOM_LESSON_HELP_TEXT",""
"TT_RANDOM_LESSON_UPPERCASE",""
"TT_RANDOM_LESSON_LOWERCASE",""
"TT_FALLBACK_QUESTION",""
"tt_Controls",""
"tt_GeneralOptions",""
"tt_LessonOptions",""
"tt_SoundOptions",""
"tt_AutoConfirmation",""
"tt_TargetTextScale",""
"tt_ReduceDistractions",""
"tt_PlayerNoDie",""
"tt_AppliesOnStart",""
"tt_InfiniteAmmo",""
"tt_EnemyInfighting",""
"tt_HUD",""
"tt_ShowScore",""
"tt_PainFlash",""
"tt_PickupFlash",""
"tt_Standard",""
"tt_Alternative",""
"tt_NoHUD",""
"tt_Never",""
"tt_Sometimes",""
"tt_Always",""
"tt_1000English",""
"tt_RandomCharacters",""
"tt_Arithmetic",""
"tt_CustomText",""
"tt_RandomCharactersConfiguration",""
"tt_UpdateTargets",""
"tt_HowToCustom",""
"tt_PassThroughCommand",""
"tt_PassThroughDescription",""
"tt_SoundEffects",""
"tt_TypingSound",""
"tt_SoundTheme",""
"tt_Length",""
"tt_Punctuation",""
"tt_OtherCharacters",""
"tt_CustomString",""
"tt_Default",""
"tt_SNES",""
"tt_Dakka",""
"tt_GroceryStore",""
"tt_TopPoints",""
